LEAID,NAME,Close_Five_Years_Actual,Close_Five_Years_Prediction
1100009,ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS,False,True
3603000,ANDES CENTRAL SCHOOL DISTRICT,False,False
1726100,MILLBURN CCSD 24,False,False
4807710,ALDINE ISD,False,False
3904409,GREENVILLE CITY,False,False
4818210,EDNA ISD,False,False
0626220,MOUNTAIN VIEW ELEMENTARY,False,False
4632340,HENRY SCHOOL DISTRICT 14-2,False,False
4209540,FAIRFIELD AREA SD,False,False
2908430,CHADWICK R-I,False,False
3100047,PINE RIDGE JOB CORPS,False,True
3904394,ELYRIA CITY SCHOOLS,False,False
2630930,SARANAC COMMUNITY SCHOOLS,False,False
2305500,ELLSWORTH SCHOOL DEPARTMENT,True,True
2802310,KEMPER CO SCHOOL DIST,False,True
4222740,TUSCARORA SD,False,False
2700128,GLENCOE-SILVER LAKE SCHOOL DISTRICT,False,False
2502880,BOXFORD,False,True
5103660,STAFFORD CO PBLC SCHS,False,False
0601383,WEST COUNTY TRANSPORTATION JPA,False,False
0636805,SIERRA UNIFIED,False,False
0606360,BUENA PARK ELEMENTARY,False,False
4200015,WORLD COMMUNICATIONS CS,False,True
5900063,,False,False
4200053,CHARTER HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,False,False
1303390,LOWNDES COUNTY,False,False
5100035,COMMONWEALTH GOVERNOR'S SCHOOL,False,True
1708160,CAMBRIDGE CUSD 227,False,False
0600037,FERNDALE UNIFIED,False,False
2008130,SOUTH BARBER,False,False
0400374,BELL CANYON CHARTER SCHOOL  INC,False,True
0802040,AKRON SCHOOL DISTRICT NO. R-1,False,False
2610860,CORUNNA PUBLIC SCHOOL DISTRICT,False,False
0642420,WHITMORE UNION ELEMENTARY,False,True
3620730,NEWCOMB CENTRAL SCHOOL DISTRICT,False,False
4008490,COMMERCE,False,False
3407140,HIGH POINT REGIONAL,False,False
2105640,UNION COUNTY,False,False
5300690,BREWSTER SCHOOL DISTRICT,False,False
0600029,MURRIETA VALLEY UNIFIED,False,False
5512090,POTOSI SCHOOL DISTRICT,False,False
0627850,OAK PARK UNIFIED,False,False
4831650,MOUNT ENTERPRISE ISD,False,False
2801360,DURANT PUBLIC SCHOOL DIST,False,False
0642270,WEST SIDE UNION ELEMENTARY,False,False
0619890,KIT CARSON UNION ELEMENTARY,False,False
0630600,PITTSBURG UNIFIED,False,False
4800237,GOLDEN RULE CHARTER SCHOOL,False,True
1700102,BRUSSELS CUSD 42,False,False
0400804,SUCCESSFUL BEGINNINGS  INC.,True,True
3415450,DELSEA REGIONAL HIGH SCHO,False,False
5300420,BELLINGHAM SCHOOL DISTRICT,False,False
5900076,,False,False
3700450,BUNCOMBE COUNTY SCHOOLS,False,False
0631950,READY SPRINGS UNION ELEMENTARY,True,True
4223640,TREDYFFRIN-EASTTOWN SD,False,False
5515120,TWO RIVERS SCHOOL DISTRICT,False,False
4818900,FABENS ISD,False,False
3178940,WOOD RIVER RURAL SCHOOLS,False,False
3412060,OCEAN TOWNSHIP,False,False
0642450,WHITTIER CITY ELEMENTARY,False,False
1715480,FOREST RIDGE SD 142,False,False
2905310,BLUE SPRINGS R-IV,False,False
1733950,RIVER BEND CUSD 2,False,False
1730060,ORANGEVILLE CUSD 203,False,False
3615630,JAMESTOWN CITY SCHOOL DISTRICT,False,False
3412450,PARK RIDGE,False,False
2010260,OSAWATOMIE,False,False
5508790,MARSHALL SCHOOL DISTRICT,False,False
4200076,NUEVA ESPERANZA ACADEMY CS,False,False
4800200,SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY,False,True
1700177,DE WITT LIVINGSTON  MCLEAN ROE,False,False
3700011,CUMBERLAND COUNTY SCHOOLS,False,False
0400419,GILA COUNTY REGIONAL SCHOOL DISTRICT,False,False
3502730,WAGON MOUND PUBLIC SCHOOLS,False,False
0800273,ARAPAHOE 1 ENGLEWOOD,False,True
2600282,JACKSON ARTS AND TECHNOLOGY PSA,True,True
2503780,COHASSET,False,False
3600013,ONEIDA CITY SCHOOL DISTRICT,False,False
0600048,PASO ROBLES JOINT UNIFIED,False,False
3626100,SCHOHARIE CENTRAL SCHOOL DISTRICT,False,False
1717520,GRAYSLAKE CCSD 46,False,False
