LEAID,NAME,cluster,label
0630720,PLACER HILLS UNION ELEMENTARY,2,False
0800017,WRAY RD-2 SCHOOL DISTRICT,2,False
3100006,WEST POINT PUBLIC SCHOOLS,2,False
2741910,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,4,False
4013320,GRANT,0,False
4813290,CELINA ISD,4,False
4203450,BERMUDIAN SPRINGS SD,4,False
3024230,SIDNEY H S,0,False
0613710,FEATHER FALLS UNION ELEMENTARY,4,False
3406390,HADDONFIELD BOROUGH,2,False
2730870,NORTHLAND COMMUNITY SCHOOLS,0,False
1927870,TIPTON COMM SCHOOL DISTRICT,4,False
2707500,CANNON FALLS PUBLIC SCHOOL DISTRICT,4,False
4003810,BEGGS,4,False
0408170,SUNNYSIDE UNIFIED DISTRICT,4,False
5100062,BLUE RIDGE GOV SCHOOL,3,False
1810770,SOUTHERN WELLS COM SCHOOLS,0,False
0102250,MARENGO COUNTY,0,False
2606090,BLOOMFIELD HILLS SCHOOL DISTRICT,2,False
3407800,JEFFERSON TOWNSHIP,2,False
4900300,GARFIELD DISTRICT,4,False
4702490,LINCOLN COUNTY,4,False
3402610,CALIFON,2,False
2104020,MCLEAN COUNTY,0,False
3904859,FORT RECOVERY LOCAL,4,False
1304650,TALBOT COUNTY,4,False
2007410,LORRAINE,4,True
4702700,MARYVILLE,4,False
3602340,SOUTH JEFFERSON CENTRAL SCHOOL DISTRICT,0,False
3303120,FREEDOM SCHOOL DISTRICT,2,False
2200540,EAST BATON ROUGE PARISH,4,False
1704680,AURORA EAST USD 131,4,False
3410140,MIDLAND PARK BOROUGH,2,False
1924960,RUDD-ROCKFORD-MARBLE RK COMM SCHOOL DISTRICT,4,False
3800047,TGU 60,4,False
0504200,CHARLESTON SCHOOL DISTRICT,0,False
5102460,MECKLENBURG CO PBLC SCHS,4,False
0408080,ST JOHNS UNIFIED DISTRICT,2,False
3621720,OLEAN CITY SCHOOL DISTRICT,4,False
4218090,OIL CITY AREA SD,0,False
0400258,CARDEN OF TUCSON  INC.,0,False
3305310,NEWPORT SCHOOL DISTRICT,4,False
3405310,FORT LEE,2,False
0400643,EXCEL EDUCATION CENTERS COTTONWOOD  LLC,3,True
3904476,SHEFFIELD-SHEFFIELD LAKE CITY,2,False
5500113,WOODLANDS SCHOOL AGENCY,4,False
1918960,MELCHER-DALLAS COMM SCHOOL DISTRICT,4,False
3303850,HOLLIS/BROOKLINE COOP SCHOOL DISTRICT,2,False
4020880,MULDROW,0,False
2614820,FRASER PUBLIC SCHOOLS,4,False
2507380,MARTHAS VINEYARD,2,False
3900385,SCHNEE LEARNING CENTER,0,False
3905001,GREEN LOCAL,2,False
1100009,ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS,2,False
2624690,MT. CLEMENS COMMUNITY SCHOOL DISTRICT,4,False
2201200,OUACHITA PARISH,4,False
0400624,PINNACLE EDUCATION-DS  INC.,3,True
5900033,,4,False
1801230,MEDORA COMMUNITY SCHOOL CORP,0,False
3600961,LA CIMA CHARTER SCHOOL,4,False
4832700,NEWCASTLE ISD,4,False
1924750,ROCKWELL-SWALEDALE COMM SCHOOL DISTRICT,2,True
4202600,LENAPE TECH,2,False
1804980,JAY SCHOOL CORP,0,False
0602100,ALPINE UNION ELEMENTARY,4,False
3904547,MARYSVILLE EXEMPTED VILLAGE,4,False
3905074,MOHAWK LOCAL,4,False
0500046,MANILA SCHOOL DISTRICT,0,False
4704530,WILLIAMSON COUNTY,4,False
3408310,LAVALLETTE BOROUGH,2,False
1700057,GALESBURG AREA VOC CTR,2,False
3904883,EAST MUSKINGUM LOCAL,4,False
0200240,SITKA SCHOOL DISTRICT,4,False
3904927,NATIONAL TRAIL LOCAL,4,False
2636540,WYANDOTTE CITY SCHOOL DISTRICT,4,False
0400330,COMPASS HIGH SCHOOL  INC.,0,False
4703960,STEWART COUNTY,0,False
2007110,HERINGTON,0,False
1723070,LINCOLN WAY CHSD 210,2,False
4101355,COLUMBIA GORGE ESD,4,False
3905069,LAKE LOCAL,2,False
1803960,GREATER JASPER CON SCHS,4,False
3904834,POLAND LOCAL,4,False
0626370,MT. DIABLO UNIFIED,4,False
3607440,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,2,False
5300950,CASCADE SCHOOL DISTRICT,0,False
4811460,BROCK ISD,2,False
3700580,CALDWELL COUNTY SCHOOLS,4,False
3000042,LAKE,1,False
0800271,SANTA FE TRAIL BOCES,1,False
3399942,NASHUA SAU OFFICE,1,False
2621180,LAPEER COMMUNITY SCHOOLS,0,False
3000088,YELLOWSTONE/W CARBON COOP,4,False
3623070,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),0,False
5900168,,4,False
0400160,VISION CHARTER SCHOOL  INC.,0,False
1713320,EAST ST LOUIS SD 189,0,False
4203240,BELLEFONTE AREA SD,2,False
4207560,DERRY AREA SD,4,False
4028710,STILWELL,0,False
5900063,,4,False
2507530,MEDFIELD,2,False
2700230,HOPE COMMUNITY ACADEMY,0,False
2621450,LESLIE PUBLIC SCHOOLS,0,False
0400373,TUCSON INTERNATIONAL ACADEMY  INC.,0,False
0639180,THERMALITO UNION ELEMENTARY,0,False
4812460,CALDWELL ISD,4,False
3480362,WARREN CO SPECIAL SERVICE,2,False
0601348,PAJARO VALLEY UNIFIED SELPA,4,False
3700180,ANSON COUNTY SCHOOLS,0,False
2630030,ROCKFORD PUBLIC SCHOOLS,4,False
4209570,FAIRVIEW SD,2,False
3600100,NEW YORK CITY GEOGRAPHIC DISTRICT #28,1,False
2628170,PINCONNING AREA SCHOOLS,0,False
1733950,RIVER BEND CUSD 2,4,False
2200125,CENTRAL COMMUNITY SCHOOL DISTRICT,4,False
6100008,,4,True
3629670,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2,False
3173230,MADISON PUBLIC SCHOOLS,2,False
4811730,BRUCEVILLE-EDDY ISD,0,False
3900191,LEGACY ACAD FOR LEADERS & ARTS,0,True
2921720,NAYLOR R-II,4,False
1703840,ANTIOCH CCSD 34,2,False
3700033,THE ACADEMY OF MOORE COUNTY,0,False
1600152,COSSA,0,False
5307740,SEDROWOOLLEY SCHOOL DISTRICT,0,False
1805670,M S D LAWRENCE TOWNSHIP,4,False
2916740,KIRKSVILLE R-III,4,False
5500026,COOPERATIVE ED SERV AGCY 05,1,False
4206240,COATESVILLE AREA SD,2,False
1910500,EDGEWOOD-COLESBURG COMM SCHOOL DISTRICT,4,False
0903390,PORTLAND SCHOOL DISTRICT,2,False
5001770,ALBURG SCHOOL DISTRICT,0,False
0800276,PIKES PEAK BOCES,1,False
5099947,WINDHAM NORTHEAST SUPERVISORY UNION,4,False
3905059,TRIWAY LOCAL,4,False
4017850,LINDSAY,4,False
0805010,SCHOOL DISTRICT NO. C-2 IN THE COUNTY OF ELBERT AND STATE OF,0,False
0611760,EARLIMART ELEMENTARY,0,False
4814490,COAHOMA ISD,4,False
4800026,SEASHORE LEARNING CTR CHARTER,0,True
0101720,HALEYVILLE CITY,4,False
2200144,RSD-SUCCESS PREPARATORY ACADEMY,4,False
2634650,VANDERCOOK LAKE PUBLIC SCHOOLS,0,False
4831620,MOUNT CALM ISD,0,False
3402550,BYRAM TOWNSHIP,2,False
3618600,CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,4,False
2010320,OSKALOOSA PUBLIC SCHOOLS,0,False
4800071,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,0,False
1704950,BANNOCKBURN SD 106,2,False
3904783,DANVILLE LOCAL,4,False
2801560,GEORGE CO SCHOOL DIST,0,False
0406360,PICACHO ELEMENTARY DISTRICT,4,False
3303272,HALE'S LOCATION,1,False
5506810,INDEPENDENCE SCHOOL DISTRICT,4,False
5508130,RICHMOND SCHOOL DISTRICT,4,False
4820010,FRISCO ISD,2,False
1707200,BRIMFIELD CUSD 309,2,False
4821090,GOODRICH ISD,4,False
3502580,TEXICO MUNICIPAL SCHOOLS,0,False
3402520,BUTLER,2,False
1727300,BROWN COUNTY CUSD 1,4,False
3412570,PASSAIC VALLEY REGIONAL H,2,False
3399944,NORTHWOOD SAU OFFICE,1,False
4900240,DUCHESNE DISTRICT,4,False
0408430,PALOMA SCHOOL DISTRICT,2,False
3817940,SWEET BRIAR 17,4,False
5004050,FERRISBURG SCHOOL DISTRICT,0,False
4008040,CLEVELAND,0,False
4807590,ALAMO HEIGHTS ISD,2,False
3000047,LINCOLN,1,False
4834800,PEWITT CISD,4,False
5100033,A. LINWOOD HOLTON GOV SCH,3,False
3172810,LEXINGTON PUBLIC SCHOOLS,0,False
1700183,FULTON/SCHUYLER ROE,4,False
2000033,BROWN CO KS SPECIAL ED COOP,4,False
1903690,ANKENY COMM SCHOOL DISTRICT,4,False
3900291,CONSTELLATION SCHOOLS: PURITAS COMMUNITY MIDDLE,0,False
2700211,SAGE ACADEMY CHARTER SCHOOL,0,False
4900135,UTAH STATE OFFICE OF EDUCATION,3,False
2632820,ST. JOHNS PUBLIC SCHOOLS,0,False
3624990,ROOSEVELT UNION FREE SCHOOL DISTRICT,0,False
0400319,TLC CHARTER SCHOOLS  INC,0,True
2005370,CUNNINGHAM,2,False
2508040,MONSON,4,False
0804440,SCHOOL DISTRICT NO. RE-12 IN THE COUNTY OF WELD AND STATE OF,2,False
4900040,CHANNING HALL,0,False
4809690,BECKVILLE ISD,2,False
1903270,ALBIA COMM SCHOOL DISTRICT,4,False
4103600,HARNEY COUNTY SD 4,0,False
0400097,NORTHLAND PREPARATORY ACADEMY,0,False
3100161,PACES-W NE JUVENILE SERVICES,4,False
3817130,SOUTH HEART 9,4,False
3400780,ALLENHURST,4,False
0601860,ALBANY CITY UNIFIED,4,False
1722740,LEYDEN CHSD 212,2,False
3200390,CARSON CITY SCHOOL DISTRICT,4,False
1802580,DAVIESS-MARTIN SPECIAL ED COOP,2,False
4810860,BORDEN COUNTY ISD,2,False
2923040,OAK HILL R-I,4,False
5900004,,4,False
3622260,OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT,0,False
0200100,DELTA/GREELY SCHOOL DISTRICT,0,False
1712700,DUNLAP CUSD 323,2,False
1736450,SKOKIE SD 68,2,False
0600050,CEA AMADOR CO,3,True
3301500,ANDOVER SCHOOL DISTRICT,2,False
3409960,MERCHANTVILLE,2,False
0612750,ENCINITAS UNION ELEMENTARY,2,False
3901329,MAHONING COUNTY HIGH SCHOOL,0,False
5900038,,4,False
4220760,SALISBURY-ELK LICK SD,0,False
3616380,LA FARGEVILLE CENTRAL SCHOOL DISTRICT,4,False
4702520,LOUDON COUNTY,4,False
5304410,LIND SCHOOL DISTRICT,0,False
