LEAID,NAME,cluster,label
0504110,GENOA CENTRAL SCH DIST,0,False
5602870,FREMONT CO SCH DIST 1,0,False
3617520,LIVERPOOL CENTRAL SCH,4,False
0400303,"NORTH STAR CHARTER SCHOOL, INC.",0,False
2500002,SPENCER EAST BROOKFIELD REG SCHOOL D,0,False
3605340,BRIARCLIFF MANOR U F SCH DIST,2,False
3007830,CULBERTSON ELEM & H S DIST 17J/C,4,False
2804140,STARKVILLE MUN SEP SCH DIST,4,False
3400013,,4,True
1742810,WINNEBAGO COUNTY SPECIAL EDUCATION C,4,False
3000008,ASHLAND ELEM DIST 32J,4,False
3303210,GILMANTON TOWN SCH DIST,2,False
4218780,PENNS MANOR AREA SCHOOL DIST,0,False
2700084,NORTHEAST EDUC COOPERATION SERVS UNI,2,False
0400293,,4,True
3904385,DEER PARK CITY SCH DIST,2,False
1601620,KAMIAH JT SCH DIST 304,0,False
3904715,GEAUGA EDUCATIONAL SERVICE CENTER,2,False
1730630,PANA COMMUNITY UNIT  SCHOOL DISTRICT,4,False
0402320,COOLIDGE SCHOOL DIST 21,4,False
1930630,WEBSTER CITY COMM SCH DIST,4,False
3900243,,4,True
3700530,CABARRUS CO SCH,4,False
4400120,CENTRAL FALLS SCHOOL DISTRICT,0,False
5513680,SHEBOYGAN FALLS SCHOOL DISTRICT,4,False
4205460,CRESTWOOD SCHOOL DIST,4,False
2803270,NORTH TIPPAH CONS SCHOOL DIST,0,False
0615870,GRAVES ELEM SCH DIST,0,False
4024870,POTEAU SCH DIST 29,0,False
4000033,KEYS SCH DIST 6,4,False
0508670,LAKESIDE SCH DIST 9,4,False
3401710,BETHLEHEM TWP SCH DIST,2,False
2300042,,4,True
1716860,GLENCOE SCHOOL DISTRICT 35,2,False
3700121,GUILFORD PREPARATORY,4,False
0400019,FLAGSTAFF ARTS AND LEADERSHIP ACADEM,0,False
5509990,MT HOREB AREA SCH DIST,4,False
2307560,LITCHFIELD TOWN SCHS,4,True
0400365,YCFA ACHIEVE ACADEMY DBA YCFA ACHIEV,0,False
2926890,ROLLA SCH DIST 31,4,False
5006630,POWNAL TOWN SCH DIST,0,False
3100074,DAWES CO SCH DIST 49,0,True
2912550,FULTON SCH DIST 58,4,False
2509810,PRINCETON TOWN SCHS,4,True
1800036,LOST RIVER CAREER COOPERATIVE,4,False
4221810,SOLANCO SCHOOL DISTRICT,2,False
0639300,TIPTON ELEM SCH DIST,0,False
2612450,EAST DETROIT CITY SCHOOL DIST,0,False
2500025,,4,False
1739510,TROY COM CONSOLIDATED SCHOOL DISTRIC,2,False
3403540,CRANBURY TWP SCH DIST,2,False
0903540,REGIONAL SCHOOL DIST NO 18,2,False
1700303,,4,True
2311940,SCHOOL ADMIN DIST 77,4,True
2921940,NEW FRANKLIN SCH DIST R-1,4,False
4810950,BOVINA IND SCH DIST 901,0,False
5800004,,4,False
0400219,CAREER SUCCESS SCHOOLS,0,False
1734540,ROCKTON SCHOOL DISTRICT 140,4,False
2600107,ACADEMY OF DETROIT-OAK PARK,0,False
