LEAID,total_students,american_indian_alaskan_native_students,american_indian_alaskan_native_male_students,american_indian_alaskan_native_female_students,asian_hawaiian_native_pacific_islander_students,asian_hawaiian_native_pacific_islander_male_students,asian_hawaiian_native_pacific_islander_female_students,hispanic_students,hispanic_male_students,hispanic_female_students,black_non_hispanic_students,black_non_hispanic_male_students,black_non_hispanic_female_students,white_students,white_male_students,white_female_students
0100002,81,0,0,0,0,0,0,0,0,0,49,43,6,32,29,3
0100005,3653,1,1,0,15,9,6,835,458,377,73,37,36,2729,1347,1382
0100006,5104,2,1,-1,5,2,1,341,177,162,10,5,3,4738,2566,2170
0100007,11563,12,5,5,667,352,313,541,278,261,1881,940,939,8454,4299,4153
0100008,7162,67,35,32,384,194,190,183,94,89,1396,704,692,5132,2686,2446
0100009,378,1,0,1,1,1,0,10,3,7,172,84,88,194,111,83
0100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100011,1297,4,2,2,5,1,4,33,14,19,410,222,188,845,453,392
0100012,2094,2,2,0,19,11,8,186,107,79,21,12,9,1866,985,881
0100018,339,0,0,0,35,17,18,3,0,3,59,14,45,242,88,154
0100030,3494,4,2,0,12,6,4,39,20,17,1371,730,639,2060,1074,984
0100060,1625,2,2,0,9,7,2,12,5,7,538,260,278,1064,537,527
0100090,2567,0,0,0,5,1,4,43,23,20,2371,1236,1135,148,83,65
0100100,2611,6,3,3,9,3,6,22,10,12,3,2,1,2571,1368,1203
0100120,2758,13,4,9,27,17,10,237,121,116,727,377,350,1754,901,853
0100180,1778,2,1,1,6,4,2,73,44,29,251,142,109,1446,768,678
0100210,4977,9,5,2,287,135,150,78,45,31,1476,742,732,3119,1609,1508
0100240,9198,37,21,14,79,39,38,88,43,43,2097,1040,1055,6889,3589,3298
0100270,24439,122,66,52,132,57,71,536,284,248,3894,2001,1889,19739,10217,9518
0100300,1260,-5,-5,-6,-6,-6,-6,9,0,3,1178,615,557,60,34,20
0100330,4123,-2,-2,-2,2,1,-1,75,35,38,3943,2012,1929,97,52,43
0100360,3557,3,2,-1,3,0,1,24,15,7,986,496,488,2533,1322,1209
0100390,31839,4,0,0,58,30,24,473,268,201,30943,15695,15244,345,168,173
0100420,7751,14,6,6,14,8,4,612,324,286,35,14,19,7068,3633,3433
0100450,1379,6,4,2,13,5,8,9,5,4,571,270,301,780,402,378
0100480,1779,-2,-2,-2,-2,-2,-2,45,25,18,1728,882,844,2,1,-1
0100510,3546,3,0,1,12,3,7,8,4,2,2113,1074,1037,1402,729,671
0100540,8914,12,4,6,30,9,19,95,56,37,1227,618,607,7542,3925,3615
0100600,4327,1,-1,0,7,5,0,16,10,4,2197,1101,1094,2098,1110,986
0100630,4223,35,22,11,5,0,3,25,11,12,259,144,113,3891,2044,1845
0100660,7208,0,-1,-1,27,10,15,371,204,165,1013,524,487,5789,3025,2762
0100690,2062,-9,-9,-10,-5,-7,-8,-8,-9,-9,1527,786,731,517,273,234
0100720,3537,2,1,1,7,3,4,8,4,4,2313,1145,1168,1207,618,589
0100750,2064,3,2,1,3,2,1,68,37,31,476,244,232,1514,792,722
0100780,2501,1,-1,0,3,-1,2,26,14,10,98,48,48,2365,1211,1152
0100810,1923,57,26,31,8,4,4,9,4,5,123,67,56,1726,882,844
0100840,3218,16,8,8,2,1,1,45,28,17,500,258,242,2655,1480,1175
0100870,1845,-2,-2,-2,1,-1,0,-2,-2,-2,1477,758,717,363,203,158
0100900,1505,2,0,0,-1,-2,-1,1,-1,0,763,390,371,732,381,349
0100930,3226,21,9,12,9,4,5,14,8,6,293,172,121,2889,1510,1379
0100960,2483,1,-1,0,18,10,6,18,11,5,813,422,389,1625,894,729
0100990,2679,1,1,-2,17,6,9,173,93,78,10,3,5,2470,1319,1149
0101020,9837,5,2,1,21,13,6,275,156,117,124,63,59,9404,4882,4520
0101050,2852,10,5,5,12,7,5,19,8,11,541,271,270,2270,1218,1052
0101080,1468,10,2,8,31,10,21,96,56,40,535,276,259,796,444,352
0101110,4418,-2,-2,-2,11,7,2,-2,-2,-2,3397,1726,1669,1006,506,498
0101140,8329,860,420,438,25,11,12,1090,552,536,75,38,35,6271,3352,2917
0101170,8845,24,12,12,78,39,39,949,502,447,2967,1447,1520,4827,2472,2355
0101200,2334,0,0,0,11,6,5,28,11,17,1222,627,595,1073,563,510
0101230,8650,16,7,7,85,52,31,139,68,69,4568,2329,2237,3834,1985,1847
0101260,913,8,3,3,3,-1,2,7,3,2,361,180,179,526,298,226
0101290,10285,14,5,7,72,37,33,145,71,72,2772,1412,1358,7274,3859,3413
0101320,5523,33,25,8,137,67,70,331,163,168,1458,746,712,3564,1827,1737
0101350,4507,226,111,111,3,2,-3,38,14,20,1762,905,853,2462,1309,1149
0101380,8858,14,4,8,34,23,9,117,64,51,284,157,125,8401,4312,4087
0101410,2999,2,1,1,12,6,6,59,27,32,1618,820,798,1308,690,618
0101440,2390,-2,-2,-2,-2,-2,-2,13,7,4,2369,1201,1166,4,1,1
0101470,2602,1,1,0,5,3,2,17,7,10,411,196,215,2168,1145,1023
0101530,4171,7,4,3,42,24,18,137,72,65,1582,786,796,2403,1215,1188
0101560,2713,3,1,2,20,15,5,627,324,303,168,81,87,1895,965,930
0101590,3033,2,1,-1,0,0,-2,156,83,71,12,8,2,2855,1462,1391
0101620,5329,9,-1,6,40,24,12,237,138,95,2941,1465,1472,2086,1045,1037
0101640,1260,3,1,2,1,0,1,21,16,5,193,99,94,1042,529,513
0101660,2701,8,6,2,10,9,1,74,47,27,439,222,217,2170,1142,1028
0101680,1610,-2,-2,-2,0,-1,-1,-2,-2,-2,1606,850,754,0,-1,-1
0101690,1789,1,1,0,19,11,8,55,31,24,249,129,120,1465,783,682
0101710,3164,1,-1,0,1,0,-1,13,6,5,2323,1164,1157,818,418,398
0101720,1695,-2,-2,-2,0,-1,-1,63,32,29,16,7,7,1610,831,777
0101730,3046,12,9,1,3,2,-1,47,23,22,152,80,70,2824,1440,1382
0101740,2713,3,0,3,7,4,3,38,17,21,1224,604,620,1441,732,709
0101760,3230,4,2,2,100,56,44,173,89,84,921,488,433,2032,1083,949
0101770,6216,6,1,3,26,16,8,64,38,24,1151,603,546,4961,2559,2400
0101800,22399,110,47,57,541,259,276,692,354,332,9699,5014,4679,11333,5825,5502
0101830,5985,608,308,298,9,4,3,110,58,50,248,112,134,5002,2651,2349
0101860,1704,3,3,0,20,12,8,40,22,18,399,207,192,1242,662,580
0101890,2696,1,1,0,22,9,13,55,25,30,539,277,262,2079,1067,1012
0101920,39432,38,23,13,212,112,98,805,425,378,12331,6336,5993,26038,13514,12522
0101950,2401,-1,-1,-2,1,0,-1,21,10,9,439,232,205,1933,969,962
0101980,988,0,0,0,0,0,0,6,6,0,843,427,416,139,69,70
0102010,8867,-1,-1,-2,8,2,4,73,33,38,264,130,132,8515,4396,4117
0102040,5650,1193,587,604,8,6,0,60,33,25,908,474,432,3473,1887,1584
0102070,9455,25,17,8,46,25,21,141,78,63,2275,1139,1136,6968,3591,3377
0102100,8178,18,10,6,23,10,11,283,139,142,837,448,387,7009,3639,3368
0102130,563,-2,-2,-2,-2,-2,-2,0,-2,0,558,290,266,1,-1,0
0102160,2309,-2,-2,-2,-2,-2,-2,-1,-1,-2,2293,1152,1139,13,10,1
0102190,3276,0,0,0,1,1,0,2,2,0,3180,1638,1542,93,47,46
0102220,17496,827,415,410,153,59,92,260,124,134,2781,1458,1321,13467,7045,6420
0102250,1615,0,0,0,8,4,4,3,1,2,1354,703,651,250,149,101
0102310,3658,4,3,1,3,1,2,51,25,26,161,87,74,3439,1837,1602
0102350,1203,-2,-2,-2,6,3,1,3,2,-1,1147,599,546,41,24,15
0102370,63975,541,286,243,1366,745,609,525,275,238,32468,16721,15735,29027,15066,13949
0102400,4295,40,22,16,23,12,9,8,2,4,2392,1250,1140,1824,953,869
0102430,31985,47,29,18,530,264,266,401,205,196,24623,12481,12142,6384,3316,3068
0102480,7687,27,14,11,21,15,4,155,76,77,206,121,83,7270,3778,3490
0102490,4247,0,0,0,34,16,18,17,11,6,8,3,5,4188,2133,2055
0102520,2574,9,3,4,25,15,8,34,15,17,421,203,216,2077,1039,1036
0102550,1365,1,0,1,10,5,5,207,109,98,70,32,38,1077,582,495
0102580,4325,3,1,2,67,34,33,49,22,27,2758,1423,1335,1448,738,710
0102610,1386,2,2,0,3,2,1,1,0,1,305,142,163,1075,536,539
0102635,3897,1,-1,0,47,25,20,190,107,81,757,378,377,2894,1466,1426
0102640,2673,13,6,5,13,8,3,40,21,17,1172,609,561,1427,752,673
0102650,4056,9,3,6,12,7,5,57,26,31,476,247,229,3502,1863,1639
0102670,2094,0,0,0,0,0,0,1,0,1,2075,1036,1039,18,9,9
0102700,5198,3,0,3,29,16,13,52,28,24,3283,1718,1565,1831,935,896
0102730,3240,-2,-2,-2,0,-1,-1,10,6,2,2114,1104,1008,1110,562,546
0102760,1004,1,1,0,0,0,0,22,14,8,148,72,76,833,419,414
0102790,2156,8,5,1,3,1,0,15,11,2,1113,610,501,1009,548,459
0102820,2304,-2,-2,-2,5,0,3,66,29,35,424,224,198,1803,937,864
0102850,1434,-1,-2,-1,1,-1,0,18,8,8,636,322,312,772,402,368
0102880,3696,-2,-2,-6,25,10,9,55,31,18,1542,774,762,2052,1060,986
0102910,2399,1,1,0,4,1,3,520,278,242,234,110,124,1640,826,814
0102940,2747,5,4,1,19,8,11,52,20,32,218,115,103,2453,1251,1202
0102970,4268,0,-1,-1,13,5,6,-2,-2,-2,4071,2052,2017,178,79,97
0103000,1241,1,1,0,2,1,1,25,14,11,588,274,314,625,362,263
0103030,23332,36,10,22,351,179,168,1081,577,500,2792,1507,1281,19056,9928,9124
0103062,7584,17,6,9,59,47,10,141,83,56,631,353,276,6728,3621,3105
0103090,2568,-2,-2,-2,-2,-2,-2,-2,-2,-2,2565,1407,1156,1,1,-2
0103120,2415,4,3,1,6,3,3,13,6,7,943,455,488,1449,748,701
0103150,2767,0,-2,0,7,2,3,12,7,3,1512,773,737,1228,638,588
0103180,7660,5,3,0,24,13,9,46,20,24,3098,1615,1481,4479,2364,2113
0103210,3350,4,2,0,6,2,2,12,8,2,1284,620,662,2036,1072,962
0103240,1849,2,1,1,11,8,3,17,9,8,513,269,244,1306,666,640
0103270,1506,0,-1,-1,-1,-2,-1,39,18,19,944,485,457,516,280,234
0103300,1659,3,1,2,3,1,2,1,0,1,751,367,384,901,481,420
0103330,2361,-1,-2,-1,19,8,9,20,11,7,1322,682,638,993,521,470
0103360,10022,0,0,-2,126,63,61,151,80,69,7315,3737,3576,2422,1213,1207
