total_students,total_schools,teachers_total,total_revenue,total_federal_revenue,total_state_revenue,total_local_revenue,total_expenditure,total_salaries,white_students,lowest_grade,highest_grade,metro_micro,charter_status,state_name,LEAID,NAME,exist_five_years
3653.0,b'5    ',b'236.3  ',26506000,3678000,16196000,6632000,26331000,14122000,2729.0,PK,12,2,3,alabama,0100005,ALBERTVILLE CITY SCH DIST,True
5104.0,b'15   ',b'-1     ',49316000,6129000,23010000,20177000,47010000,22833000,4738.0,PK,12,2,3,alabama,0100006,MARSHALL CO SCH DIST,True
11563.0,b'15   ',b'797.1  ',115272000,3445000,43471000,68356000,131878000,55726000,8454.0,PK,12,1,3,alabama,0100007,HOOVER CITY SCH DIST,True
7162.0,b'9    ',b'450.9  ',54396000,2757000,30066000,21573000,53739000,28197000,5132.0,KG,12,1,3,alabama,0100008,MADISON CITY SCHOOL DISTRICT,True
1297.0,b'3    ',b'88.5   ',9899000,924000,5855000,3120000,9915000,5804000,845.0,KG,12,1,3,alabama,0100011,LEEDS CITY SCHOOL DISTRICT,True
2094.0,b'5    ',b'148.5  ',21461000,1832000,11400000,8229000,20226000,8914000,1866.0,KG,12,2,3,alabama,0100012,BOAZ CITY SCHOOL DISTRICT,True
,b'-2   ',b'-2     ',12458000,62000,39000,12357000,6616000,1972000,,,,1,0,alabama,0100013,TRUSSVILLE CITY,True
3494.0,b'5    ',b'240.4  ',25269000,2348000,15077000,7844000,24778000,14251000,2060.0,PK,12,0,3,alabama,0100030,ALEXANDER CITY SCH DIST,True
1625.0,b'3    ',b'108.8  ',13364000,1516000,7287000,4561000,12216000,6642000,1064.0,PK,12,0,3,alabama,0100060,ANDALUSIA CTY SCH DIST,True
2567.0,b'9    ',b'-1     ',20279000,4640000,10905000,4734000,21170000,11195000,148.0,PK,12,1,3,alabama,0100090,ANNISTON CTY SCH DST,True
2611.0,b'4    ',b'174    ',18722000,1102000,12383000,5237000,17893000,10483000,2571.0,PK,12,2,3,alabama,0100100,ARAB CITY SCHOOL DISTRICT,True
2758.0,b'7    ',b'203    ',26024000,2394000,11573000,12057000,25178000,13751000,1754.0,KG,12,1,3,alabama,0100120,ATHENS CITY SCH DIST,True
1778.0,b'4    ',b'119.2  ',13173000,1688000,8832000,2653000,13158000,7523000,1446.0,PK,12,1,3,alabama,0100180,ATTALLA CITY SCH DIST,True
4977.0,b'10   ',b'-1     ',78514000,3441000,20058000,55015000,45388000,24099000,3119.0,PK,12,1,3,alabama,0100210,AUBURN CITY SCHOOL DIST,True
9198.0,b'14   ',b'-1     ',61748000,5573000,40508000,15667000,59863000,32549000,6889.0,KG,12,1,3,alabama,0100240,AUTAUGA CO SCH DIST,True
24439.0,b'47   ',b'-1     ',202189000,16834000,92918000,92437000,216035000,107999000,19739.0,PK,12,2,3,alabama,0100270,BALDWIN CO SCH DIST,True
1260.0,b'5    ',b'-1     ',10820000,2252000,7002000,1566000,11635000,5738000,60.0,PK,12,0,3,alabama,0100300,BARBOUR CO SCH DIST,True
4123.0,b'9    ',b'-1     ',35575000,6185000,18032000,11358000,31350000,17449000,97.0,PK,12,1,3,alabama,0100330,BESSEMER CITY SCH DIST,True
3557.0,b'10   ',b'230    ',26228000,3913000,18364000,3951000,24810000,14136000,2533.0,PK,12,1,3,alabama,0100360,BIBB CO SCH DIST,True
31839.0,b'82   ',b'-1     ',315307000,43646000,143779000,127882000,315055000,156662000,345.0,PK,12,1,3,alabama,0100390,BIRMINGHAM CITY SCH DIST,True
7751.0,b'16   ',b'467    ',52559000,5516000,36527000,10516000,51056000,27824000,7068.0,PK,12,1,3,alabama,0100420,BLOUNT CO SCH DIST,True
1379.0,b'3    ',b'92.5   ',12643000,816000,6042000,5785000,10668000,5467000,780.0,KG,12,0,3,alabama,0100450,BREWTON CITY SCH DIST,True
1779.0,b'5    ',b'119    ',13765000,3009000,8618000,2138000,14074000,8002000,2.0,KG,12,0,3,alabama,0100480,BULLOCK CO SCH DIST,True
3546.0,b'8    ',b'217    ',26438000,5519000,16325000,4594000,25583000,14096000,1402.0,PK,12,0,3,alabama,0100510,BUTLER CO SCH DIST,True
8914.0,b'19   ',b'-1     ',66683000,6831000,43092000,16760000,65724000,34875000,7542.0,PK,12,1,3,alabama,0100540,CALHOUN CO SCH DIST,True
4327.0,b'11   ',b'320    ',31942000,4307000,19609000,8026000,31804000,16415000,2098.0,PK,12,2,3,alabama,0100600,CHAMBERS CO SCH DIST,True
4223.0,b'8    ',b'284.8  ',31215000,3393000,19715000,8107000,31455000,17396000,3891.0,PK,12,0,3,alabama,0100630,CHEROKEE CO SCH DIST,True
7208.0,b'12   ',b'535.5  ',48187000,5595000,32176000,10416000,48758000,25873000,5789.0,PK,12,1,3,alabama,0100660,CHILTON CO SCH DIST,True
2062.0,b'5    ',b'-1     ',18766000,3462000,9597000,5707000,20253000,8524000,517.0,KG,12,0,3,alabama,0100690,CHOCTAW CO SCH DIST,True
3537.0,b'9    ',b'227.3  ',27194000,4465000,16108000,6621000,26191000,14351000,1207.0,PK,12,0,3,alabama,0100720,CLARKE CO SCH DIST,True
2064.0,b'4    ',b'131    ',14830000,1676000,10072000,3082000,14640000,8219000,1514.0,PK,12,0,3,alabama,0100750,CLAY CO SCH DIST,True
2501.0,b'7    ',b'188.1  ',17878000,2263000,12534000,3081000,17121000,9921000,2365.0,PK,12,0,3,alabama,0100780,CLEBURNE COUNTY SCHOOL DISTRICT,True
1923.0,b'5    ',b'-1     ',14195000,1863000,8957000,3375000,14531000,7095000,1726.0,KG,12,2,3,alabama,0100810,COFFEE CO SCH DIST,True
3218.0,b'9    ',b'217.2  ',29092000,2882000,15070000,11140000,27679000,14698000,2655.0,PK,12,1,3,alabama,0100840,COLBERT COUNTY SCHOOL DISTRICT,True
1845.0,b'6    ',b'123.5  ',17628000,3605000,9368000,4655000,15986000,8279000,363.0,PK,12,0,3,alabama,0100870,CONECUH CO SCH DIST,True
